"study","ecosystem","top_bottom_both","phyto_func_response","func_group_type","zoo","fish","microbes","location","study_type","experimental_design","manipulation","coordinates","spatial extent_km","temporal duration","trophic state","importance_td_vs_bu","zoop_func_response","notes","include","reviewer","year"
"Davidson et al 2010","marine",3,1,"taxonomic",1,0,1,"Southern Ocean","field","in situ","NA","between 30 and 80◦E","1 east west transect, 11 meridional transects","between Jan and Mar 2006",NA,"td",1,NA,"yes","Isabelle",2010
"Davidson et al 2010","marine",3,1,"taxonomic",1,0,1,"southern ocean","field","in situ",NA,"30E - 80E; 60S - Antarctic continental shelf",NA,"01/2006 - 03/2006",NA,"td",1,"key results listed at end of paper. measures community composition, abundance and distribution of marine protists (phytoplankton and protozoa); hypothesizes about what drives differences in community composition between sites","include","Megan",2010
"Devkota et al 2023","freshwater",3,1,"taxonomic",1,0,0,"Lake Ringsjön, southern Sweden","lab","experiment","temperature","55°51′43.2″N, 13°32′24″E","NA","1 year","NA",NA,0,NA,"yes","Ewaldo",2023
"Devkota et al 2023","freshwater",1,1,"taxonomic",1,0,0,"southern Sweeden","lab","experiment","temperature","55°51′43.2′′N, 13°32′24′′E","NA","12 months","NA",NA,0,"each mesocosm was 400 L","y","Heather",2023
"Diaz et al 2019","marine",3,1,"morphological",1,0,0,"Gulf of Lions, France","field","none","NA","43.193971, 5.055233","NA","NA","NA",NA,1,"Phytoplankton = Microphytoplankton vs. nanophytoplankton; similar for zooplankton","yes","Anika",2019
"Diaz et al 2019","marine",3,1,"morphological",1,0,0,"Gulf of Lions, Mediterranean","model","in silico","NA","NA","NA","35 years","NA","td",0,"Model had size classifications for the phytoplankton","y","Britt",2019
"Dinasquet et al 2012","estuary",3,1,"taxonomic",1,0,1,"Öland, Sweden","field","in situ, experiment","Addition of jellyfish Mnemiopsis leidyi; larvae or adults or none","56°53’ 25” N, 17° 04’ 07” E","32 bottles","19 to 26 August 2009","nutrient-limited",NA,1,"Phytoplankton = Grouped into broad groups (eugleno, crypto, dinos, phytoflagellates)","yes","Anika",2012
"Dinasquet et al 2012","estuary",3,1,"taxonomic",1,0,1,"Southern Baltic Sea","lab","experiment","Predation","NA","NA","168 hours","NA",NA,1,"NA","y","Britt",2012
"Diniz et al 2024","freshwater",2,1,"morphological",1,0,0,"Cajueiro Reservoir, Brazil","field","none","none","8°59′21.3″S, 36°28′19.9″ W","N = 9","November 2018 and August 2019","eutrophic",NA,1,"Phytoplankton species were classified into functional groups according to life form and cell size, and zooplankton species were grouped; classified into morphofunctional groups according to life form (unicellular, colonial, filamentous and flagellar) and cell size (small:<50 µm,
medium: 50–100 µm and large:>100 µm)
based on functional feeding groups and trophic guilds.","yes","Anika",2024
"Diniz et al 2024","freshwater",3,1,"taxonomic, morphological",1,0,0,"Cajueiro Resevoir, Brazil","field","in situ","NA","(8°59′21.3′′S and 36°28′19.9′′ W)","NA","November 2018-August 2019","eutrophic",NA,0,"Don't mention phytoplankton functional groups / traits and they aren't the main focus","y","Britt",2024
"Duan et al 2021","marine",3,1,"taxonomic",0,0,1,"South China Sea","field","experiment","nutrients","36.16 N, 120.49 E","5 sampling sites","72 hour incubation","oligotrophic",NA,0,"did not look at entire phyto community, just a few genera of cyanos","yes","Isabelle",2021
"Duan et al 2021","marine",3,1,"taxonomic",0,0,1,"South China Sea","field","experiment","NA","NA","NA","72 hrs","oligotrophic",NA,0,"mostly bacterial study but they do look at a a couple cyano genera","y","Heather",2021
"Dupuy et al 2011","marine",1,1,"taxonomic, morphological",1,0,1,"Bay of Biscay, northeast Atlantic Ocean","field","in situ, experiment","NA","NA","3 sites","12 days","NA",NA,1,NA,"y","Heather",2011
"Dupuy et al 2011","marine",1,NA,"taxonomic, morphological",1,0,1,"Bay of Biscay (France/Spain)","field","in situ",NA,"(45°30 N; 1°30' W) ; (45°01 N; 1°30' W) ; (45°10 N; 2°20' W)","3 sites","4 times in Feb, Apr, Jun and Sep-Oct 2004","na",NA,1,"focus is bottom up control on heterotrophic protists by phyto. growth/grazing rates of phyto size classes from dilution experiments. in situ sasonal abundance data of taxonomic groups. no explicit conclusions about td/bu control on phyto. phyto groups: picoplankton, nanophytoplankton, diatoms, autotrophic dinoflagellates; The planktonic community was classified by size: bacteria, autotrophic cells <3 mm (cyanobacteria and picoeukaryotes), autotrophic cells between 3 and 20 mm (ANF, and small autotrophic ciliates, Myrionecta rubra), autotrophic cells >20 mm (diatoms and autotrophic dino agellates),","maybe; include","Megan",2011
"Dutkiewicz et al 2021","marine",3,1,"morphological, physiological",1,0,0,"NA (global ocean)","model","in silico","temperature","NA","NA","10 year simulations","oligotrophic",NA,0,"NA","y","Britt",2021
"Dutkiewicz et al 2021","marine",3,1,"taxonomic, morphological",1,0,0,"NA","model","in silico","NA","NA","NA","20, 10+10 year simulation","NA","td",0,"interesting and comprehensive model","Yes","Emmy",2021
"Ersoy et al 2017","freshwater",3,1,"morphological",1,1,0,"northeastern Iceland","lab","experiment","predators","65° 40' N, 17° 00'W","8 enclosures","58 days","eutrophic",NA,1,"including - size diversity focus again where they obviously identified phytos to distinct taxonomic groups, even though it is used as a community metric in the results","y","Heather",2017
"Ersoy et al 2017","freshwater",3,1,"morphological",1,1,0,"Lake Myvatn, Iceland","field","experiment","Predation","(65°400N, 17°000W,",NA,"58 days","eutrophic",NA,1,"NA","y","Britt",2017
"Ersoy et al 2017","freshwater",3,1,"morphological",1,1,0,"Lake Myvatn","field","in situ","predation","65°40′N, 17°00′W","enclosures in south basin","3 months","NA",NA,1,"Size diversity of zooplankton and td/bu effects on cyanos",NA,"Britt",2017
"Garcia-Gomez et al 2020","marine",3,1,"taxonomic, omics",0,0,1,"northwest Alboran Sea","field","in situ","NA","36°1′ −36°35′N, 4°16'−4°45′W","7 stations","8 days","oligotrophic",NA,0,"diatom and dinoflagellate taxa; gyre caused a shift from bu to td","y","Heather",2020
"Garcia-Gomez et al 2020","marine",NA,NA,"taxonomic",NA,NA,NA,"Mediterranean Sea","field","omics","NA","36◦1−36◦35N, −4◦45
W)","Various sample stations","7 days","NA","td",0,"OTU classification of phytoplankton","y","Britt",2020
"Garcia-Gomez et al 2020","marine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The td/bu seems to be a reach of this study /after thought - its main focus is on sequening of protists across environemntal gradients and discussing diversity / trends.........being conservative and saying no.","n","Britt",2020
