key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-208106539,Lineage-Specific Growth Curves Document Large Differences in Response of Individual Groups of Marine Bacteria to the Top-Down and Bottom-Up Controls,2021,9,,MSYSTEMS,2379-5077,6,5,,"Fecskeova, Livia K. and Piwosz, Kasia and Santic, Danijela and Sestanovic, Stefanija and Tomas, Ana Vrdoljak and Hanusova, Martina and Solic, Mladen and Koblizek, Michal",,English,AMER SOC MICROBIOLOGY,"1752 N ST NW, WASHINGTON, DC 20036-2904 USA",,"",10.1128/mSystems.00934-21,aerobic anoxygenic phototrophs; amplicon sequencing; bacterioplankton; grazing; growth curves; gr...,,,""
rayyan-208106540,"Copepod food-quality threshold as a mechanism influencing phytoplankton succession and accumulation of biomass, and secondary productivity: a modeling study with management implications",2000,10,,ECOLOGICAL MODELLING,0304-3800,134,2,245-274,"Roelke, DL",,English,ELSEVIER SCIENCE BV,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,"",10.1016/S0304-3800(00)00346-X,food-quality threshold; plankton dynamics; copepod growth,,,""
rayyan-208106548,Comparing food web structures and dynamics across a suite of global marine ecosystem models,2013,7,,ECOLOGICAL MODELLING,0304-3800,261,,43-57,"Sailley, S. F. and Vogt, M. and Doney, S. C. and Aita, M. N. and Bopp, L. and Buitenhuis, E. T. and Hashioka, T. and Lima, I. and Le Quere, C. and Yamanaka, Y.",,English,ELSEVIER SCIENCE BV,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,"",10.1016/j.ecolmodel.2013.04.006,Dynamic Green Ocean Model; Plankton Functional Types; Zooplankton; Food web dynamic; Predator-pre...,,,""
rayyan-208106549,A size-structured food-web model for the global ocean,2012,11,,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,57,6,1877-1891,"Ward, B. A. and Dutkiewicz, S. and Jahn, O. and Follows, M. J.",,English,AMER SOC LIMNOLOGY OCEANOGRAPHY,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446 USA",,"",10.4319/lo.2012.57.6.1877,"",,,""
rayyan-208106550,Top-down and bottom-up effects of fish on a macrophyte-mediated trophic network: a mesocosm approach,2022,12,,AQUATIC ECOLOGY,1386-2588,56,4,1157-1175,"Diniz, Anamaria Silva and Moura, Ariadne do Nascimento",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",,"",10.1007/s10452-022-09976-4,Chaoborus; Grazing; Phytoplankton; Refuge; Small cladocerans; Trophic cascade,,,""
rayyan-208106554,Comparison of pelagic food webs in lakes along a trophic gradient and with seasonal aspects: influence of resource and predation,2004,6,,JOURNAL OF PLANKTON RESEARCH,0142-7873,26,6,697-709,"Auer, B and Elzer, U and Arndt, H",,English,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",,"",10.1093/plankt/fbh058,"",,,Arnold et al 2009_9YD.pdf
rayyan-208106555,Phyto- and zooplankton dynamics in two ICOLLs from Southern Portugal,2019,1,,ESTUARINE COASTAL AND SHELF SCIENCE,0272-7714,216,,110-117,"Gamito, Sofia and Coelho, Susana and Perez-Ruzafa, Angel",,English,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",,"7th European Coastal Lagoons Symposium, Murcia, SPAIN, MAR 01-04, 2016",10.1016/j.ecss.2017.11.023,Intermittently closed and open lakes and lagoons (ICOLLs); Bottom-up and top-down control; Ecosys...,,,""
rayyan-208106557,Seasonality of top-down control of bacterioplankton at two central Red Sea sites with different trophic status,2023,10,,ENVIRONMENTAL MICROBIOLOGY,1462-2912,25,10,2002-2019,"Sabbagh, Eman I. and Calleja, Maria LI. and Daffonchio, Daniele and Moran, Xose Anxelu G.",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1111/1462-2920.16439,"",,,""
rayyan-208106566,Comparative analysis of bacterioplankton and phytoplankton in three ecological provinces of the northern South China Sea,2005,,,MARINE ECOLOGY PROGRESS SERIES,0171-8630,293,,17-28,"Ning, XR and Li, WKW and Cai, YM and Shi, JX",,English,INTER-RESEARCH,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",,"",10.3354/meps293017,phytoplankton; photosynthetic picoplankton; bacterioplankton; northern South China Sea,,,""
rayyan-208106568,Functional diversity and redundancy of rotifer communities affected synergistically by top-down and bottom-up effects in tropical urban reservoirs,2023,11,,ECOLOGICAL INDICATORS,1470-160X,155,,,"Liu, Ping and Wang, Tian and Li, Huiming and Zhang, Xiaoli and Wang, Lu and Jeppesen, Erik and Han, Bo-Ping",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.ecolind.2023.111061,Rotifer community; Functional diversity; Functional redundancy; Urban reservoirs; Seasonal variation,,,""
